Log,Exercise Tag,Feeling Tag
"i did ten laps in a standard 50 meter pool. i was very out of wind by the end, but managed to finish.",laps,out of wind
i jogged for 2 miles. i felt very stiff.,jogged,stiff
i did a high intensity interval training video i felt very sore.,high intensity interval training,sore
i just did an hour of hot yoga. i felt so relaxed.,hot yoga,relaxed
i went bouldering for 45 minutes over my lunch break. i felt weak.,bouldering,weak
i ran two miles on the treadmill. i felt like running more.,ran,running more
i did weight lifting at the gym for one hour. i felt energized.,weight lifting,energized
i biked ten miles.  i felt calm.,biked,calm
i completed fifty pushups.  i feel exhausted.,pushups,exhausted
i bench press 150 lbs of weight. i felt sore after.,bench press,sore
i played some pick up basketball at nearby park. i was exhausted after.,basketball,exhausted
i went to a 2-hour yoga class i felt very refreshed,yoga,refreshed
i rode a bike for one hour i felt energized,bike,energized
i spent an hour lifting weights. i felt energized.,lifting,energized
i ran for an hour. i felt euphoric.,ran,euphoric
i did 10 burpees i felt like i worked out my entire body!,burpees,worked out my entire body
i did 20 jumping jacks i feel energized.,jumping jacks,energized
i just did 100 squats i felt awful,squats,awful
i walked 4 miles i felt good!,walked,good
i just did 50 pushups! i feel pumped!,pushups,pumped
i just ran a 5k race! i feel good but exhausted.,ran,"good, exhausted"
i just ran a mile sick to my stomach,ran,sick
20 assisted pull ups  arms are weak and crampy,pull ups,"weak, crampy"
i did 8 push ups. the last few were definitely struggles.,push ups,struggles
i did 6 assisted pull ups. i'm so weak right now!,pull ups,weak
i lifted heavy weights for 30 minutes.  my muscles are sore.,weights,sore
i jogged on the treadmill for 15 minutes. i feel energized after jogging.,jogged,energized
i skiied for an hour today it was hard but exhilarating,skiied,exhilarating
i did yoga this afternoon it was relaxing,yoga,relaxing
i did 15 squats. my thighs are on fire!,squats,fire
just swam 10 laps. i feel so out of breath.,laps,out of breath
i just did half a mile of squats.  i felt like my legs were burning!,squats,burning
i ran 3 miles.  i was bored after the first mile.,ran,bored
i complete a 15 minute cardio video workout i am very out of breath,cardio,out of breath
i participated in a core yoga class i won't be able to move tomorrow,core yoga,won't be able to move
i played full court basketball. i felt out of breath.,played,out of breath
i dumbbell pressed for 10 minutes.  i felt powerful.,dumbbell pressed,powerful
i rowed for fifteen minutes on the rowing machine i felt excited as i am getting back to exercising again,rowed,excited
i walked for 30 minutes on the treadmill today i felt really good as i read a book and the time flew by,walked,really good
i just played 1 on 1 basketball for 4 games i am exhausted.,basketball,exhausted
i just hiked 15 miles. i am worn out!,hiked,worn out
i hiked 6 miles.  i felt really sore afterwards!,hiked,sore
i biked for 1 hour. i felt really powerful.,biked,powerful
i walked for 6000 steps. it felt great.,walked,great
i just did a set of push ups. my arm muscles really feel week.,push ups,week
i just completed 50 jumping jacks. i am out of breath and my heart is racing.,jumping jacks,"out of breath, heart is racing"
i just finished 30 crunches. my ab muscles are sore.,crunches,sore
30 minutes on the eliptical i was really bored,eliptical,bored
bench pressing 25 pounds i felt invigerated,bench pressing,invigerated
i walked the track for a hour. i felt great.,walked,great
i did 15 squats i was exhausted.,squats,exhausted
i lifted 70 pounds of weights. i felt a bit tired after doing the weight lifting.,lifted,a bit tired
i ran 3 miles on a treadmill. i felt rejuvenated after working out.,ran,rejuvenated
i walked for 30 minutes i felt good being outside,walked,good
i did yoga for 15 minutes i felt good but confused,yoga,"good, confused"
"i did 30 minutes on a stationary bicycle.  my back feels nice, it really straightened out my neck.",stationary bicycle,nice
i did isolated bar bell lifts on m biceps.  my arm feels good.,lifts,good
i jogged for a mile i felt exhausted,jogged,exhausted
i swam two laps i felt refreshed,swam,refreshed
"i lifted weights and worked my chest, shoulders and triceps. i felt weak during my heavier bench presses.",lifted weights,weak
"i lifted weights and worked my legs, back and biceps. i felt weak doing squats since i haven't done them in a while.",lifted weights,weak
i ran 2 football fields. i feel good and energized.,ran,"good, energized"
"i walked 15,000 steps today. it makes my legs feel sore.",walked,sore
i did weight lifting for 20 minutes. my arms are sore.,weight,sore
i ran on the treadmill for 30 minutes. i felt invigorated.,ran,invigorated
i rode eight miles on the stationary bike. my quads are so sore right now.,stationary bike,sore
i did 50 thrusters. i'm starting to feel a little lightheaded.,thrusters,lightheaded
i did 50 burpees i was out of breathe,burpees,out of breathe
i used 35 lb dumbbells my biceps and shoulders were throbbing,dumbbells,throbbing
"10k run on greenway average pace, good effort",run,"average, good"
mtb biking of road in park good balance and flow,biking,good
20 ab crunches for senior citizen struggling after the first 5,ab crunches,struggling
10 squats for senior citizen felt better after first 3 squats,squats,better
i perform 10 push ups on my first workout. i felt very energetic after my first workout.,push ups,very energetic
i jog about half a mile on my second workout. i felt physically strong after my second workout.,jog,physically strong
i walked for one hour. i felt relaxed.,walk,relaxed
i rode my bike the entire length of the shoreline trail. i felt exhausted and ready for a nap.,bike,exhausted
i did 100 crunches. i couldn't get out of bed the next morning.,crunches,couldn't get out of bed
i played basket ball for 1 hour. i thought i was going to die during the game if i had to run down the gym one more time.,basket ball,thought i was going to die
i ran for 30 minutes i felt exhausted,ran,exhausted
i did 10 deadlifts i felt great,deadlifts,great
i hiked 3 miles in the forest. i felt amazing and at peace with nature.,hiked,"amazing, at peace"
i played football for 2 hours. i felt sore after.,played,sore
my first mile speed walk i worried i woulnt make it but did.  i felt terrific.,walk,terrific
i did 30 minutes stretches i was so sore but  i kept it up,stretches,sore
i cleaned the house for 3 hours i am worn out.,cleaned,worn out
i washed all 3 cars today. my arms and knees are killing me.,washed,killing
i rode a stationary bike for 30 minutes. i felt weak in the legs - especially my calves.,rode,weak
i walked 2 miles. i felt slightly out of breath afterwards.,walked,out of breath
i did 50 jumping jacks. i was very tired,jumping jacks,tired
i did 25 push-ups. my arms were very sore,push-ups,sore
i walked outside for 30 minutes. i feel refreshed!,walked,refreshed
i hiked 12 miles today. i feel accomplished!,hiked,accomplished
first thing i do in the morning when i wake up is do 25 push-ups. it wakes me up and gets me going in the morning.,push-ups,wakes me up
secondly i walk around the block three times. it gets my blood flowing and warms up my muscles for the day.,walk,"blood flowing, warms up my muscles"
"the first thing i do is run for 3 miles after this exercise i feel accomplished, but exhausted",run,"accomplished, exhausted"
the second workout is biking for 1 hour my legs were tired after,biking,tired
i jugged almost the entire field felt so weak,jugged,weak
i played basketball ball for an hour feeling relaxed,basketball,relaxed
bike riding i felt kind of tired,bike riding,kind of tired
i went for a walk invigorated,walk,invigorated
i walked 3 miles in one hour. i feel exhausted.,walked,exhausted
i swam for one hour. i feel energized.,swam,energized
i ran for 30 minutes around my neighborhood it was horrible because it was very hilly.,ran,horrible
"i swam 20 laps around the pool. it was refreshing, but very tiring.",swam,"refreshing, tiring"
i ran on the treadmill for a hour i felt really tired after.,ran,tired
"i worked out on the weights for a half hour. i felt very satisfied after,",weights,satisfied
i did the treadmill an ran for 30 minutes i felt really tired,treadmill,really tired
i did the treadmill again and i felt tired  i felt like i ran better than my first time.,treadmill,better
i just did 25 crunches. my abs are on fire,crunches,fire
i just did 25 push-ups. my arms feel like jelly.,push-ups,jelly
i did four miles on the rowing machine. my arms were burning.,rowing machine,burning
i walked on the treadmill for twenty minutes. my legs were very tired.,walked,tired
"i workout on the elliptical indoors for 45 minutes. felt like i did okay, but it was very boring.",elliptical,okay
"i did three sets of twelve pushups, i am a beginner at these. i felt super out of shape.",pushups,out of shape
i just did vinyasa yoga for 45 minutes. i felt so relaxed afterwards!,vinyasa yoga,relaxed
i just jogged 3 miles i am so out of shape and winded!!!,jogged,"out of shape, winded"
i walked the dog i felt refreshed,walked,refreshed
i lifted weights i felt tired,lifted,tired
i roller skated around the block. i felt amazing!,roller skated,amazing
i did 20 push ups. i felt like a rock star,push ups,rock star
50 squats without stopping! it felt invigorating!,squats,invigorating
15 minute flexed arm hang a little shaky,flexed arm hang,shaky
i did 30 minutes on the stair stepping machine my leg and butt muscles are burning,stair stepping,burning
i walked briskly for 20 minutes i feel invigorated,walked,invigorated
i just did 15 reps of arm curls. i feel vigorous.,arm curls,vigorous
i did 10 pull-ups. i feel a little tired.,pull-ups,tired
i danced for 30 minutes i felt tired but happy,danced,"tired, happy"
i walked for 4 miles i was strangley energetic after,walked,energetic
i did 10 sets of bicep curls   my arms are feel like they want to explode,bicep,explode
i did 100 air squats  i need to work more on my legs,squats,work more
i jogged for 20 minutes in my neighborhood. i felt winded and out of breath.,jogged,"winded, out of breath"
i did an at home aerobics cardio burning exercise video. i felt exhausted but accomplished.,aerobics,"exhausted, accomplished"
i did 10 pushups today. i felt very weak.,pushups,weak
i did a zumba class today. i felt energized,zumba,energized
i did 50 squats my legs are shaking,squats,shaking
i did the elliptical for 45 minutes now my legs are numb,elliptical,numb
i lifted weights at the gym. i felt exhausted.,lifted,exhausted
i swum ten laps in the pool. i felt exhilarated.,swum,exhilarated
i lifted weights for 1 hour. i felt empowered.,lifted,empowered
i walked for 30 minutes. i felt energized.,walked,energized
i just did weighted sumo squats i felt awesome!,weighted sumo squats,awesome
i held a 3 minute plank i feel exhausted but powerful,plank,"exhausted, powerful"
i worked out on the elliptical for 30 minutes. i felt completely exhausted!,elliptical,exhausted
i ran on the treadmill for 60 minutes. i can't believe how weak i feel in the knees.,ran,weak
i ran for 30 minutes it feels exhilarating,ran,exhilarating
"i was on the elliptical for 45 minutes my legs hurt, so i'm feeling a little worn",elliptical,"hurt, worn"
i did some sit ups i totally felt the burn. hurt my stomach in a good way,sit ups,burn
i ran half of a mile.  my legs were numb and tingly and i felt accomplished,ran,accomplished
i did cardio in my bedroom this morning for 30 minutes. i felt so invigorating afterward!,cardio,invigorating
i ran in place in my home for twenty minutes after i arrived home from work. i was able to wind down after a productive yet tiring day at work.,ran,wind down
"i just did a hit workout my legs feel like jello, i'm so out of shape.",hit workout,"jello, out of shape"
i just completed a yoga workout i feel so relaxed and limber after the workout.,yoga,"relaxed, limber"
i walked 5 miles. my leg muscles were sore.,walked,sore
i went ice skating for an hour. my ankles were very tired.,ice skating,tired
i went to the gym for the first time and did weight training exercises. i felt out of breath and sore but determined.,weight training,"out of breath, sore, determined"
i did the weight training again and repeated the same exercises as my previous workout. i felt a bit more strong and confident.,weight training,strong
i just walked 7 blocks! i feel energized!,walked,energized
i just ran up and down the stairs 30 times! i feel so tired!,ran,tired
i took an hour long hip-hop dance class. i felt incredible and had so much fun because it was a high energy environment!,hip-hop dance class,"incredible, had so much fun"
i walked on the treadmill for 45 minutes. i was more tired than usual but finished my workout.,walked,more tired than usual
i walked 1 and a half miles. i felt great.,walked,great
i lifted weights for 30 minutes. it made me sore.,lifted,sore
i did twenty five jumping jacks. it sucked.,jumping jacks,sucked
i ran around the block. i felt happy afterwards.,ran,happy
i just lifted a kettlebell 25 times. i felt exhausted.,kettlebell,exhausted
i walked 5 miles.  i felt rejuvenated.,walked,rejuvenated
i just did 15 pushups. i feel out of shape.,pushups,out of shape
"i walked 2 miles. i was winded during the walk, but felt great after.",walked,"winded, great"
i walked a mile. i felt okay.,walked,okay
i lifted weights for thirty minutes. i felt good.,lifted,good
i did 200 situps. i feel like i got run over by a truck.,situps,over by a truck
i swam a mile. i feel like i'm made of lead.,swam,made of lead
i did yogarobics today. i felt both tired and rejuvenated.,yogarobics,"tired, rejuvenated"
my second workout today was walking with the treadmill. i felt relaxed.,walking,relaxed
"i ran 3 miles.  out of breath the first half mile, then felt good.",ran,"out of breath, good"
"i did 20 minute beginner yoga.  back hurting, but otherwise ok.",yoga,"back hurting, ok"
i played volleyball for one hour. it felt terrific.,volleyball,terrific
i played baseball for three hours. i feel exhausted.,baseball,exhausted
i completed a 3 minute static plank hold. i started sweating and my body began to tremble during the exercise.,static plank hold,"sweating, tremble"
i completed 10 consecutive pull ups. my grip started to weaken and i felt fatigue in my lats.,pull ups,fatigue
i did 30 sit ups i thought i wasnt able to finish them,sit ups,wasnt able to finish
i had to squat 50 times  my legs feel like spaghetti,squat,spaghetti
i played a game of pick up basketball i am out of shape and my body is not used to the running.,basketball,"out of shape, not used to running"
i just played singles tennis. my knees are killing me.,tennis,killing me
i rode 2 miles on an exercise bike. i'm exhausted.,rode,exhausted
i lifted weights for 30 minutes. i feel out of shape.,lifted weights,out of shape
i just deadlifted i feel really strong,deadlifted,strong
i just ran i am exhausted,ran,exhausted
i biked 20 miles! i was exhausted after finishing.,biked,exhausted
i ran to the lake and back. i felt a nice runner’s high.,ran,nice runner's high
i swam twenty laps i feel tired,swam,tired
i walked 1 hour i feel good,walked,good
"i walked a mile. i felt tired, but accomplished.",walked,tired
i walked on the treadmill for 30 minutes. after it was over i felt exhausted.,walked,exhausted
i played basketball for three hours. i felt out of breath.,basketball,out of breath
i went jogging outside for 30 minutes. i felt refreshed afterwards.,jogging,refreshed
i swam today i felt great like i could swim double my intending laps,swam,great
i walked today i was tired going in but after i felt more awake,walked,tired
i ran four miles. i feel great.,ran,great
i swam for twenty minutes. i feel energetic.,swam,energetic
i performed 20 burpees. my arms and chest were burning during this.,burpees,burning
"i ran 40 mountain climbers. afterward, the back of my calves burned badly.",mountain climbers,burned badly
i boxed for 1 hour.  i feel incredible!,boxed,incredible
i ran 15 miles.  i feel exhausted.,ran,exhausted
i walked 1.5 miles i felt energized and ready to tackle the day,walked,energized
i jumped 250 times using a heavy nylon rope i felt exhausted,jumped,exhausted
i just did 15 minutes of yoga. i felt energized!,yoga,energized
i just walked on the treadmill. it was boring.,walked,boring
i rode my bike 10 miles i felt exhilirated when it was over.,rode,exhilirated
i power-walked 4.2 miles. i felt stiff and achy afterwards.,power-walked,"stiff, achy"
i ran on the elliptical for half an hour. i felt invigorated.,ran,invigorated
i did 10 sets of 12 reps on the weight machines. my muscles hurt.,weight machines,muscles hurt
i walked 3 miles. i felt pumped and excited.,walked,"pumped, excited"
i did ten sets with 12 pound free weights. i felt more tone.,did ten sets,tone
i just did 10 minutes on the treadmill i feel energized,treadmill,energized
i walked for 25 minutes feeling a little tired,walked,tired
i went for a hike.  my calfs are on fire.,hike,fire
i ran 2 miles.  i feel so energetic.,ran,energetic
i did three minutes of jumping jacks. i feel out of breath.,jumping jacks,out of breath
i ran for ten minutes. my legs are sore.,ran,sore
i spent 40 min on the eliptical  i felt refreshed,eliptical,refreshed
i ran a 5k i felt proud,ran,proud
i did yoga by following along with a youtube video.  i felt accomplished as i completed the workout.,yoga,accomplished
i walked at the park & pushed my kids in a stroller.  i felt powerful as i pushed a double stroller in a hilly park. i felt tired after we were done though.,walked,"powerful, tired"
i danced to soca music for 30 minutes. my legs felt sore.,danced,sore
i jump roped for 10 minutes. i was really sweaty.,jump roped,sweaty
i walked four laps around the track i felt like my legs were going to fall off.,walk,fall off
i went bikeriding with my kids i felt the fresh air doing wonders for my lungs and mind,bikeriding,doing wonders
i just finished a one hour kickboxing class. i feel energized now.,kickboxing,energized
i just walked for thirty minutes on the treadmill. i'm so tired now,walked,tired
just completed a 40 mile bike ride i feel completely exhausted,bike ride,exhausted
just swam my first 200 meters i feel completely energized,swam,energized
started with warm up which is running. my blood circulation reached all my muscles and there wre less chances of getting injured,running,blood circulation
"i started working on my lower chest, with decline bench press after completing my set my chest was pumped and it was of light weight which helped my chest to prepare for big set",decline bench press,pumped
i ran 1 mile yesterday i felt nice doing it,ran,nice
i walked 2 miles last week i felt super tired,walk,tired
i just did 10 lunges on each leg.  i'm a lot weaker than i thought i was!,lunges,weaker
i jumped rope for 10 minutes. i feel exhausted!,jumped rope,exhausted
"i ran on the treadmill for 2 miles without stopping at all to walk. i felt like my cardio was good, but i was tired out too.",ran,"good, tired"
i did an hour of zumba at the gym. i felt invigorated moving to the music.,zumba,invigorated
cycling for 5 miles i felt tired,cycling,tired
i did walkling i was relaxed,walkling,relaxed
i just biked 10 miles. i felt exhausted.,biked,exhausted
"i trained for half a marathon today, my legs are so sore.",half a marathon,sore
i walked 10 blocks it was fine,walked,fine
i used the elliptical for 1 hour it was strenuous,elliptical,strenuous
i went to a zumba class it made me sweaty,zumba,sweaty
i ran on the treadmill i felt tired after,ran,tired
i did doube-bounce jump rope for 20 minutes very very tired,jump rope,tired
"i did five burpees, followed by 20 seconds of rest for 20 minutes arm were fatigued but the rest of me felt strong",burpees,"fatigued, strong"
i did three sets of squats. my hamstrings felt a little tight.,squats,tight
i did rows on the row machine. i feel nice and warmed up for other exercises.,rows,"nice, warmed up"
workout: i played tennis for 2 hours. how i felt i was tried but felt great,tennis,great
workout: i walked for 3hours. how i felt: i felt so good,walked,good
i conditioned with my cheerleading team. i felt exhausted.,conditioned,exhausted
i bench pressed 40 pounds. my arms feel like jello.,bench pressed,feel like jello
i just deadlifted 200lbs! i feel so strong!,deadlifted,strong
i finished thirty minutes of yoga! i feel so relaxed!,yoga,relaxed
i just ran intervals for 30 minutes. i felt great.,intervals,great
i just used the elliptical trainer. i really pushed myself.,elliptical,pushed
i just did a 5minutes straight-arm plank it was horrible,straight-arm plank,horrible
i just did a jumping squat program i felt like i'm getting it more,jumping squat program,getting it more
i worked out with resistance bands at home. i felt somehwat bored and lacking interest.,worked,"bored, lacking interest"
i ran a 5k through my neighborhood with lots of uphill segments. the uphill portions make me less motivated.,ran,less motivated
i lifted weights my muscles are sore,weights,sore
i did yoga i feel stretched out,yoga,stretched out
i walked three miles on the mountain trail this morning. i felt energized!,walked,energized
i swam laps for 30 mins in the y pool this afternoon. i hate the taste of chlorine!,swam,hate the taste
"i rode my bike one mile. i felt like i wasn't doing anything, not real exercise",bike,"wasn't doing anything, not real exercise"
i lifted two hundred pounds. my arms are still feeling sore during the exercise.,lifted,sore
i went rowing for half an hour. my arms & shoulders were somewhat sore.,rowing,sore
i took a long walk on the beach. i felt refreshed.,walk,refreshed
i walked on the tredmill for about a hour. after the workout i felt refreshing,walked,refreshing
i did 2 sets of squats. during the workout my legs were burning.,squats,burning
i danced for two hours. i feel great!,danced,great
i played volleyball for an hour i am really out of shape and tired.,volleyball,"out of shape, tired"
i did my 10000 steps for the day feel good l completed my target of 10000 steps,steps,good
i played table tennis game today i feel strong,table tennis,strong
i did squats. i felt sore.,squats,sore
i ran a mile. i felt healthy.,ran,healthy
i lifted 300 pounds i felt like i was having a stroke,lifted,stroke
i basically just did water areobics i felt like a 55 year old woman,water areobics,like a 55 year old woman
i did a 30min abs workout. it was really hard.,abs workout,hard
i ran for two hours. i felt accomplished.,ran,accomplished
i walked for 1 mile. i am more out of shape than i realized.,walked,out of shape
i played a game of badmitton for 30 minutes. i was sore immediately afterward.,badmitton,sore
i just did 40 minutes of yoga. i feel refreshed.,yoga,refreshed
i just danced 1 hour of nia. i feel happy.,danced,happy
"i went for a walk for an hour. my feet hurt a little, but i'm fine otherwise.",walk,"hurt, fine"
i jumped rope for five minutes. i need to exercise more.,jumped rope,exercise more
i rode my bike for 1 hour i felt invigorated after,bike,invigorated
i lifted weights for 30 minutes i felt pumped after,lifted,pumped
i climbed 50 flights on the stair master. i felt energized.,climbed,energized
i did shoulder press with dumb bells. i felt sore afterwards but pleased.,shoulder press,"sore, pleased"
i did fifteen pushups my abs hurt,pushups,hurt
i played tennis for one hour my legs were sore,tennis,sore
i hiked a one mile trail i felt completely winded and out of breath,hiked,winded
i took a hot yoga class i felt exhausted after the class,yoga,exhausted
i rode my bike for five miles. i felt exhilarated while riding my bike.,bike,exhilarated
i did a leg workout with weights. i felt weak but determined during this workout.,weights,"weak, determined"
i did twenty pushups  i felt something pop,pushups,pop
i walked 5 miles on a treadmill  my legs were wobbly when finished,walked,wobbly
i did a 1-hour yoga class i felt energized and confident,yoga,"energized, confident"
i did a circuit training class i felt excited and strong,circuit training,"excited, strong"
i jog this morning for 1 hour i felt very energetic after the exercise,jog,energetic
i did 1 hour of spinning after work i felt somewhat tired when i finished,spin,tired
i rowed for 3 hours. i am exhuasted.,rowed,exhuasted
i did 45 lunges. i feel like i could jump over the moon.,lunges,could jump over the moon
i ran on the treadmill for 30 minutes i felt out of shape but accomplished,ran,"out of shape, accomplished"
i swam laps for 30 minutes i felt refreshed,swam,refreshed
i walked 2 miles it was difficult but afterwards i felt energized,walked,"difficult, energized"
i cycled for 10 minutes i felt it was difficult to keep going,cycled,difficult
i did 12 burpees! i felt fatigued.,burpees,fatigued
i hiked 15 miles. i felt tired.,hiked,tired
i did the treadmill for 30 minutes. i am so tired.,treadmill,tired
i did 10 laps in the pool. it felt great,laps,great
i worked out at the gym. i felt motivated.,worked out,motivated
i did aerobics for an hour.  i felt tired.,aerobics,tired
i ran 3 miles without stopping. i feel like i have conquered the world.,ran,conquered the world
i just benched 150 pounds. i am worn out!,benched,worn out
i ran two miles. i felt exhausted and sore.,ran,"exhausted, sore"
i participated in a jazzercize class. i felt excited and revived.,jazzercize,"excited, revived"
my first workout today was a chest work out i felt amazing after my workout,chest work out,amazing
my second workout was squats i felt exhausted,squats,exhausted
i ran 6 miles. i feel accomplished.,ran,accomplished
i did strength training. i feel weak.,strength training,weak
"i rode a bike for 5 miles. i felt terrible, my knees were so painful,",bike,painful
i spent an hour walking.  i was exhausted when i arrived home.,walking,exhausted
i just walked on the treadmill for one hour. my calves are so sore.,walked,sore
i just ran a 5k. i hope i don't have shin splints!,ran,shin splints
i did aerobics for thirty minutes. i feel energized.,aerobics,energized
i ran laps for twenty minutes. i was out of breath.,ran,out of breath
i ran one hour in treadmill.  i felt tiring.,ran,tiring
i played 2 hours cricket.  it was excruciating.,cricket,excruciating
i walked two miles. it felt good.,walked,good
i climbed stairs for ten minutes. my knee hurt.,climbed,hurt
i just walked uphill a couple of miles. i was out of breath.,walked,out of breath
i just did thirty pushups. my arms are sore.,pushups,sore
i just rode 15 minutes on the exercise bike. i felt sore afterward!,exercise bike,sore
"i took a 20 minute walk around the neighborhood. i felt tired, but refreshed afterward.",walk,"tired, refreshed"
i did an hour of callenetics. i feel more flexible.,callenetics,flexible
i did an hour of ballet boot camp. i feel like i am not where i should be fitness wise.,ballet boot camp,not where i should be
"i did 4 miles on the elliptical. after it, my legs felt weak and tired.",elliptical,"weak, tired"
"i rode a bike for 30 minutes. during the bike ride, my legs felt good.",bike,good
i do 100 push ups.  like my arms are strong and i could kill a bull.,push ups,strong
i run about a mile.  i feel like im dying.,run,dying
i walked two miles on the treadmill. i felt bored while i was walking.,walked,bored
i did 50 walking lunges. my butt and thighs were burning!,walking lunges,burning
i just did 40 leg presses at 50 pounds i feel proud and great,leg presses,"proud, great"
i did 40 leg presses at 50 pounds i felt that i needed to up my game and increase the weight,leg presses,needed to up my game
i just walked three miles i should do this everyday because i feel better.,walked,better
i just jumped on the trampoline for an hour. i feel dizzy.,jumped,dizzy
i walked three miles.  i was extremely tired afterwards.,walked,tired
i lifted weights for 45 minutes.  i was very sore afterwards.,lifted,sore
i just swam eleven pool laps. i am feeling recharged and invigorated.,swam,"recharged, invigorated"
"i spent thirty minutes lifting free weights. i am tired, but my muscles are pleasantly tingling.",lifting,"tired, tingling"
i walked up and down a flight of stairs 3 times.   during the 3rd time up the muscles in my legs felt like they were on fire.,walked,fire
for 10 consecutive and uninterrupted minutes i jumped rope.  after 10 minutes of jumping rope my chest felt like it was about to explode.,jumped,explode
i hiked for an hour and a half i felt invigorated,hiked,invigorated
i played baseball for one hour i felt sluggish,baseball,sluggish
i just completed my first rebounding workout i am exhausted,rebounding,exhausted
rebounding day 2 i was extremely sore but was proud of what i accomplished,rebounding,"sore, proud"
going out for a jog in the morning tired but enjoying sweating,jog,"tired, enjoy"
playing badminton i feel excited playing with opponents that are similar level as me,badminton,excited
i ran for 2 miles i was tired,ran,tired
i lifted weights physically exhausted,lifted,exhausted
i just cycled five miles. my legs where so strong after.,cycled,strong
i just swam arcoss the lake. afterwards i couldn't breathe.,swam,couldn't breathe
i did 20 burpees in 2 minutes i struggled with completing them in the time given,burpees,struggled
i walked my go for 90 minutes my feet were a little achy but i felt great otherwise,walked,"achy, great"
i took a walk to take out my trash.  i felt calm and accomplished.,walk,"calm, accomplished"
i had a dance party with my daughter.  i was exhilarated!,dance,exhilarated
i walked for one mile  i felt relaxed,walked,relaxed
i danced for an hour i felt energized,danced,energized
i did 50 squats. my thighs feel like they're on fire!,squats,on fire
i did 20 push-ups. my arms are so sore right now!,push-ups,sore
skipping i feel relax,skipping,relax
volley ball i feel brisk,volley ball,brisk
i workout push-ups  i felt my arms are strong,push-ups,strong
i do skipping for three months i felt tall,skipping,tall
i played three hours tennis iam really out of day,tennis,out of day
i ran 2 miles i was terrible,ran,terrible
i ran one mile outside. i felt ok until later when my plantar fasciitis made it hard to walk.,ran,"ok, hard to walk"
i went to the gym and biked 4 miles on the stationary bicycle. my legs were a little shaky after done.,biked,shaky
jogging with the dog calves felt sore,jogging,sore
"walked the dog around the park good, healthy, joyful",walked,"good, healthy, joyful"
i took a 2 hour hike it was invigorating,hike,invigorating
i performed 3 sets of squats at the gym it was challenging,squats,challenging
1.5h soccer practice physical pain,soccer,pain
10km run exhausted,run,exhausted
i just finished an hour of yoga. i am so sore!,yoga,sore
"i just ran 3 miles up hill. i was feeling so out of shape, i could hardly breathe!",ran,out of shape
i deadlifted 235 pounds for 2 sets of 3 reps. i felt both overwhelmed and strong.,deadlifted,"overwhelmed, strong"
i walked a mile on the treadmil at a high incline. i felt like i wasn't going to make it.,walked,i wasn't going to make it
i just did a thirty minute full body circuit weight-lifting workout.  i'm exhausted and my legs are wobbly.,weight-lifting,"exhausted, wobbly"
i walked on the treadmill on an incline for 45 minutes. i am drenched in sweat now.,treadmill,drenched in sweat
i just rode my bike 10 miles on the rail trail.  my legs muscles are quivering with fatigue!,bike,fatigue
i just did 25 minutes straight on the elliptical machine. i felt like a boss while my legs pumped back and forth.,elliptical machine,like a boss
i took a hot yoga class today i sweated buckets!,hot yoga,sweated
i tried a barre workout my muscles felt the burn,barre,burn
i ran for 10 minutes on the treadmill i feel exhilarated and full of zest!,ran,"exhilarated, full of zest"
i did two hundred sit-ups. i feel weak and rather hungry.,sit-ups,"weak, hungry"
i did a 45 minute hiit workout. i feel energized and great.,hiit,energized
i just completed a 4 mile walk. i feel relaxed and refreshed.,walk,"relaxed, refreshed"
i did 25 jumping jacks.  i am so exhausted!,jumping jacks,exhausted
i did 30 pushups. i feel great!,pushups,great
i just ran 3 miles on the river trail. i felt great because the air was fresh.,ran,great
i just did 100 jumping jacks. my calves are really sore.,jumping jacks,sore
my first workout was using ten pound dumbbells and lifting them. i felt energized and wanted to do more exercising.,dumbbells,energized
my second workout was a cardio workout where i ran up and down my stairs. i felt sweaty and tired.,stairs,"sweaty, tired"
i just started a new yoga regime.  it hurt to stretch the muscles at first.,yoga,hurt
"i decided to start walking for exercise. it felt refreshing, but the hills were difficult.",walking,"refreshing, difficult"
i ran on a treadmill for five minutes.  my legs feel really weak.,ran,weak
i did twenty pushups. i feel great!,pushups,great
i swam 2400 yards. my shoulders felt tight.,swam,tight
i walked two miles it felt good.,walked,good
i participated in a zumba dance class i felt exhausted yet invigorated,zumba,"exhausted, invigorated"
i walked 4 miles i felt refreshed and energized,walked,"refreshed, energized"
i just did some heavy weight lifting. i feel sore already.,lifting,sore
i just did 30 mins of stairmaster. my legs are about to give out.,stairmaster,give out
i just did 20 reps on the leg press. my legs feel like jello!,leg press,jello
i rode the recumbent bicycle for 20 minutes. i feel great!,recumbent bicycle,great
i did 10 sets of leg extensions. the next day i could barely stand.,leg extensions,barely stand
i went swimming for two hours today.  i was exhausted afterwards.,swimming,exhausted
i just ran two miles on the track. i was extremely tired after this workout.,ran,tired
i lifted 40 pounds on leg press today. my legs are very sore after lifting on the leg press.,lifted,sore
i just did squats for the first time in weeks. my legs are absolutely dead today.,squats,dead
i just did over 100 pushups yesterday. i can barely lift a finger today.,pushups,barely lift a finger
i just walked on the treadmill for 30 minutes.  my legs feel like noodles.,walked,noodles
i just did a 50 minute aerobic class. i felt so weak and out of shape.,aerobic,"weak, out of shape"
i walked for 2 miles it was good,walked,good
i did weight lifting i was drained,weight lifting,drained
